Ticker,Long_Short,Compl. Date,FirstTrade,Prediction
DJT,Long,2024-03-25,2024-09-25,Short
RDZN,Short,2023-09-20,2024-09-20,Short
GTI,Long,2024-03-14,2024-09-16,Long
ZEO,Long,2024-03-13,2024-09-13,Long
NMHI,Short,2024-03-11,2024-09-11,Short
QTI,Short,2024-03-04,2024-09-04,Long
FUFU,Long,2024-02-29,2024-08-29,Long
BETR,Short,2023-08-22,2024-08-22,Short
LOT,Long,2024-02-22,2024-08-22,Short
SELX,Long,2024-02-15,2024-08-15,Long
TVGN,Short,2024-02-14,2024-08-14,Long
CERO,Short,2024-02-14,2024-08-14,Short
TLSI,Short,2023-08-10,2024-08-12,Long
MRT,Long,2023-07-10,2024-08-12,Short
JTAI,Short,2023-08-10,2024-08-12,Short
ATCH,Short,2024-02-09,2024-08-09,Short
STI,Short,2024-02-02,2024-08-02,Long
TRUG,Long,2024-01-31,2024-07-31,Short
PBM,Short,2024-01-25,2024-07-25,Long
AEON,Short,2023-07-21,2024-07-22,Long
PSQH,Short,2023-07-19,2024-07-19,Short
CSLR,Short,2023-07-17,2024-07-17,Short
CTCX,Short,2023-07-14,2024-07-15,Short
HOVR,Short,2024-01-12,2024-07-12,Short
HWH,Short,2024-01-08,2024-07-08,Short
PNST,Short,2023-12-29,2024-07-01,Short
ZCAR,Long,2023-12-28,2024-06-28,Short
AISP,Short,2023-12-21,2024-06-21,Short
LDTC,Short,2023-12-21,2024-06-21,Short
MSAI,Short,2023-12-19,2024-06-20,Short
VSTE,Short,2023-12-18,2024-06-18,Long
MTAL,Short,2023-06-15,2024-06-17,Long
BNZI,Short,2023-12-14,2024-06-14,Short
ECDA,Long,2023-12-12,2024-06-12,Long
SVMH,Long,2023-12-08,2024-06-10,Long
NPWR,Long,2023-06-08,2024-06-10,Long
SOAR,Short,2023-12-01,2024-06-03,Short
TYGO,Long,2023-05-23,2024-05-23,Long
EUDA,Long,2022-11-23,2024-05-23,Short
EONR,Short,2023-11-15,2024-05-15,Short
CAPT,Long,2023-11-15,2024-05-15,Long
ONMD,Short,2023-11-07,2024-05-07,Short
RMCO,Short,2023-10-31,2024-04-30,Short
ZAPP,Short,2023-04-28,2024-04-29,Short
EGOXF,Short,2023-10-19,2024-04-19,Long
MNY,Short,2023-10-12,2024-04-12,Short
AERT,Short,2023-11-07,2024-04-08,Short
UHG,Long,2023-03-30,2024-04-01,Long
COCH,Long,2023-09-29,2024-04-01,Long
ESLA,Short,2023-09-29,2024-04-01,Long
COOT,Short,2024-03-21,2024-03-21,Short
CDT,Short,2023-09-21,2024-03-21,Short
PRST,Short,2022-09-21,2024-03-21,Short
GFR,Long,2023-09-20,2024-03-20,Long
NB,Short,2023-03-17,2024-03-18,Long
CCG,Short,2023-09-15,2024-03-15,Long
CLDI,Long,2023-09-12,2024-03-12,Long
MDAI,Long,2023-09-11,2024-03-11,Short
LVRO,Short,2023-02-28,2024-02-28,Short
ICCT,Short,2023-08-25,2024-02-26,Long
NCNC,Long,2023-08-25,2024-02-26,Long
BEEP,Short,2023-08-25,2024-02-26,Short
ABLV,Long,2023-08-17,2024-02-20,Long
OCEA,Long,2023-02-14,2024-02-14,Long
VFS,Short,2023-08-14,2024-02-14,Long
MVLA,Short,2023-02-10,2024-02-12,Short
LNZA,Long,2023-02-09,2024-02-09,Long
ESGL,Long,2023-08-02,2024-02-02,Long
ELIQQ,Long,2023-07-31,2024-01-31,Short
OBIO,Short,2023-01-26,2024-01-26,Short
BAER,Long,2023-01-25,2024-01-25,Long
LZM,Short,2023-07-05,2024-01-05,Long
ALTI,Short,2023-01-03,2024-01-03,Short
ABL,Long,2023-07-03,2024-01-03,Long
MLEC,Short,2022-12-30,2024-01-02,Short
DTI,Short,2023-06-20,2023-12-20,Short
LANV,Short,2022-12-14,2023-12-14,Short
RVPH,Long,2020-12-14,2023-12-14,Short
GETR,Long,2022-12-08,2023-12-08,Short
CJET,Short,2023-06-01,2023-12-01,Short
HUBC,Short,2023-02-28,2023-11-28,Short
TMPOQ,Short,2022-11-23,2023-12-29,Short
NAMS,Short,2022-11-22,2023-11-22,Short
GRND,Short,2022-11-18,2023-11-20,Long
SDA,Long,2023-05-17,2023-11-17,Short
OABI,Short,2022-11-01,2023-11-01,Long
ICU,Short,2022-10-28,2023-10-30,Short
PERF,Short,2022-10-28,2023-10-30,Short
SLNAF,Short,2022-10-27,2023-10-27,Short
BTDR,Short,2023-04-13,2023-10-13,Short
APLM,Short,2023-03-29,2023-09-29,Short
LVWR,Long,2022-09-27,2023-09-27,Short
ZURA,Long,2023-03-20,2023-09-20,Long
RUM,Short,2022-09-16,2023-09-18,Short
CXAI,Short,2023-03-14,2023-09-14,Short
AMPX,Long,2022-09-14,2023-09-14,Long
KITT,Short,2022-09-09,2023-09-11,Short
SMX,Long,2023-03-07,2023-09-07,Long
CIFR,Short,2021-08-26,2023-08-28,Short
CZOOF,Long,2021-08-26,2023-08-28,Short
WEST,Long,2022-08-26,2023-08-28,Short
ETAOF,Long,2023-02-20,2023-08-21,Short
VGAS,Short,2023-02-15,2023-08-15,Long
SLND,Long,2023-02-14,2023-08-14,Long
LUNR,Short,2023-02-13,2023-08-14,Short
AENT,Short,2023-02-10,2023-08-10,Short
QBTS,Short,2022-08-05,2023-08-07,Short
AWIN,Short,2023-02-03,2023-08-03,Short
HIPO,Short,2021-08-02,2023-08-02,Long
BURU,Long,2023-01-31,2023-07-31,Long
WALD,Short,2022-07-27,2023-07-27,Short
CRGO,Short,2023-01-25,2023-07-25,Short
GETY,Long,2022-07-21,2023-07-21,Short
