Order no,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Exit Type,Quantity,Position Size,PNL,% PNL,Holding Period
cGJscWjUDoazvAmPJ4ogXy,JOBY,Short,2022-08-10 00:00:00+00:00,6.2,2022-10-18 00:00:00+00:00,4.62,Stop Loss,16129.033,100000.0,25483.872,25.48,69 days 00:00:00
Ndamgn8Fi7uXWfZkLDmvSU,NRGV,Short,2022-08-11 00:00:00+00:00,5.39,2022-09-26 00:00:00+00:00,4.96,Stop Loss,16697.589,90000.0,7179.963,7.98,46 days 00:00:00
o8oj6XZJKRybVUJjnfTcya,MCOM,Short,2022-08-12 00:00:00+00:00,10350.0,2022-08-15 00:00:00+00:00,11430.0,Stop Loss,7.826,81000.0,-8452.08,-10.43,3 days 00:00:00
7fPfgb4UXVpBtoL5HujdqB,MIMOQ,Short,2022-08-15 00:00:00+00:00,3.17,2022-09-13 00:00:00+00:00,2.46,Stop Loss,25285.422,80154.79,17952.65,22.4,29 days 00:00:00
NTULevQLV2FemmP7n54khb,LIDR,Short,2022-08-16 00:00:00+00:00,81.3,2022-09-22 00:00:00+00:00,42.48,Stop Loss,887.322,72139.31,34445.84,47.75,37 days 00:00:00
e2hKzAJkQpn8fjibiFVxhq,XOS,Short,2022-08-19 00:00:00+00:00,53.1,2022-10-26 00:00:00+00:00,32.4,Stop Loss,1222.7,64925.38,25309.89,38.98,68 days 00:00:00
bdfcAnaXy9mHB8WK93Zz8A,RGTI,Short,2022-09-01 00:00:00+00:00,3.96,2022-10-04 00:00:00+00:00,2.08,Stop Loss,14755.768,58432.84,27740.844,47.47,33 days 00:00:00
mF7hCZpp6aacbAAovr3Npv,DNA,Short,2022-09-16 00:00:00+00:00,120.8,2022-09-28 00:00:00+00:00,134.4,Stop Loss,516.559,62400.3,-7025.202,-11.26,12 days 00:00:00
fFAQggZWynqFk2Le5VEbBb,LLAP,Short,2022-09-26 00:00:00+00:00,2.51,2022-10-10 00:00:00+00:00,2.04,Stop Loss,26621.032,66818.79,12511.885,18.73,14 days 00:00:00
SZgWpHfhDSA2e9o8dsrLLQ,PDYN,Short,2022-09-26 00:00:00+00:00,14.58,2022-12-20 00:00:00+00:00,4.16,Stop Loss,4124.617,60136.91,42978.509,71.47,85 days 00:00:00
D6yVnkkqH3cXtvxcqpL5UU,SWVL,Short,2022-09-30 00:00:00+00:00,21.5,2022-10-05 00:00:00+00:00,25.2,Stop Loss,3226.918,69378.73,-11939.597,-17.21,5 days 00:00:00
ETLG27Ydut2QYLwzBvfiSo,GWH,Short,2022-10-07 00:00:00+00:00,66.9,2022-10-26 00:00:00+00:00,61.56,Stop Loss,1148.014,76802.13,6130.395,7.98,19 days 00:00:00
2oiHezbhCR4h268zKgVRDf,NVTS,Short,2022-10-19 00:00:00+00:00,4.1,2022-11-11 00:00:00+00:00,4.73,Stop Loss,21854.483,89603.38,-13768.324,-15.37,23 days 00:00:00
W6GLZEqJXd8EaD2C9g4bhg,SMR,Short,2022-11-02 00:00:00+00:00,11.3,2023-07-11 00:00:00+00:00,7.91,Stop Loss,8669.01,97959.82,29387.944,30.0,251 days 00:00:00
bq7msPU83JujWd3mrDLNSJ,DCGO,Short,2022-11-07 00:00:00+00:00,8.44,2023-01-12 00:00:00+00:00,7.69,Stop Loss,10445.953,88163.84,7834.465,8.89,66 days 00:00:00
